Barbie - Magic Genie Adventure (USA)(Mattel Inc.)(8Mb).gbc, Barbie - Magic Genie Adventure (USA)(Mattel Inc.)(8Mb).gbc
Barbie - Meeres Abenteuer (Germany) (GB Compatible)(Mattel Inc.)(8Mb).gbc, Barbie - Meeres Abenteuer (Germany) (GB Compatible)(Mattel Inc.)(8Mb).gbc
Barbie - Ocean Discovery (Europe) (GB Compatible)(Mattel Inc.)(8Mb).gbc, Barbie - Ocean Discovery (Europe) (GB Compatible)(Mattel Inc.)(8Mb).gbc
Barbie - Ocean Discovery (USA) (GB Compatible)(Mattel Inc.)(8Mb).gbc, Barbie - Ocean Discovery (USA) (GB Compatible)(Mattel Inc.)(8Mb).gbc
Barbie - Pet Rescue (USA)(Mattel Inc.)(8Mb).gbc, Barbie - Pet Rescue (USA)(Mattel Inc.)(8Mb).gbc
Barcode Taisen Bardigun (Japan) (SGB Enhanced) (GB Compatible)(TAM)(8Mb).gbc, Barcode Taisen Bardigun (Japan) (SGB Enhanced) (GB Compatible)(TAM)(8Mb).gbc
Batman Beyond - Return of the Joker (Japan) (NP)(Ubi Soft)(8Mb).gbc, Batman Beyond - Return of the Joker (Japan) (NP)(Ubi Soft)(8Mb).gbc
Batman Beyond - Return of the Joker (USA)(Ubi Soft)(8Mb).gbc, Batman Beyond - Return of the Joker (USA)(Ubi Soft)(8Mb).gbc
Battle Fishers (Japan)(Konami)(16Mb).gbc, Battle Fishers (Japan)(Konami)(16Mb).gbc
BattleTanx (USA)(3DO)(8Mb).gbc, BattleTanx (USA)(3DO)(8Mb).gbc
Beatmania GB (Japan) (SGB Enhanced) (GB Compatible)(Konami)(8Mb).gbc, Beatmania GB (Japan) (SGB Enhanced) (GB Compatible)(Konami)(8Mb).gbc
Beatmania GB - Gotcha Mix 2 (Japan)(Konami)(16Mb).gbc, Beatmania GB - Gotcha Mix 2 (Japan)(Konami)(16Mb).gbc
Beatmania GB2 - Gotcha Mix (Japan) (SGB Enhanced) (GB Compatible)(Konami)(8Mb).gbc, Beatmania GB2 - Gotcha Mix (Japan) (SGB Enhanced) (GB Compatible)(Konami)(8Mb).gbc
Beauty and the Beast - A Board Game Adventure (USA) (SGB Enhanced) (GB Compatible)(Left Field Productions)(8Mb).gbc, Beauty and the Beast - A Board Game Adventure (USA) (SGB Enhanced) (GB Compatible)(Left Field Productions)(8Mb).gbc
Austin Powers - Oh, Behave! (Europe) (En,Fr,De,Es,It)(Take 2)(32Mb).gbc, Austin Powers - Oh, Behave! (Europe) (En,Fr,De,Es,It)(Take 2)(32Mb).gbc
Austin Powers - Oh, Behave! (USA)(Rockstar Games)(32Mb).gbc, Austin Powers - Oh, Behave! (USA)(Rockstar Games)(32Mb).gbc
Benjamin Bluemchen - Ein verrueckter Tag im Zoo (Germany)(Kiddinx)(16Mb).gbc, Benjamin Bluemchen - Ein verrueckter Tag im Zoo (Germany)(Kiddinx)(16Mb).gbc
Beyblade - Fighting Tournament (Japan)(Hudson)(16Mb).gbc, Beyblade - Fighting Tournament (Japan)(Hudson)(16Mb).gbc
Bibi Blocksberg - Im Bann der Hexenkugel (Germany)(Kiddinx)(8Mb).gbc, Bibi Blocksberg - Im Bann der Hexenkugel (Germany)(Kiddinx)(8Mb).gbc
Bibi und Tina - Fohlen Felix in Gefahr (Germany)(Kiddinx)(8Mb).gbc, Bibi und Tina - Fohlen Felix in Gefahr (Germany)(Kiddinx)(8Mb).gbc
Bikkuriman 2000 - Charging Card GB (Japan) (SGB Enhanced) (GB Compatible)(Imagineer Co. Ltd.)(16Mb).gbc, Bikkuriman 2000 - Charging Card GB (Japan) (SGB Enhanced) (GB Compatible)(Imagineer Co. Ltd.)(16Mb).gbc
